dataset	n_rows	n_columns
ds001576	0	0
ds003752	0	0
ds001921	0	0
ds004265	0	0
ds002274	0	0
ds005063	0	0
ds003151	0	0
ds001923	0	0
ds003170	0	0
ds006072	0	0
ds004097	0	0
ds007185	0	0
ds002608	0	0
ds002715	0	0
ds001247	0	0
ds004666	0	0
ds004594	0	0
ds005894	0	0
ds001847	0	0
ds005040	0	0
ds005623	0	0
ds004742	0	0
ds001945	0	0
ds006940	0	0
ds003872	0	0
ds006243	0	0
ds002609	0	0
ds004458	0	0
ds007135	0	0
ds007090	0	0
ds003325	0	0
ds006564	0	0
ds001607	0	0
ds003434	0	0
ds007026	0	0
ds000255	0	0
ds002873	0	0
ds005529	0	0
ds002380	0	0
ds002761	0	0
ds006189	0	0
ds003563	0	0
ds002513	0	0
ds001132	0	0
ds003707	0	0
ds003720	0	0
ds003669	0	0
ds006240	0	0
ds005563	0	0
ds005128	0	0
ds001357	0	0
ds002425	0	0
ds003103	0	0
ds001621	0	0
ds007313	0	0
ds002076	0	0
ds002040	0	0
ds004630	0	0
ds004081	0	0
ds002306	0	0
ds001775	0	0
ds004640	0	0
ds007043	0	0
ds004829	0	0
ds005431	0	0
ds000241	0	0
ds004995	0	0
ds006817	0	0
ds005003	0	0
ds006111	0	0
ds003798	0	0
ds006721	0	0
ds004521	0	0
